Bezeichner	Straße	PLZ	Ort	Voraussichtliche Inbetriebnahme
Jacob-Lienau-Schule	Schulstraße 2	23730	Neustadt in Holstein	05.02.2019
Grundschule am Nord-Ostsee-Kanal	Hauptstraße 24	24214	Neuwittenbek	24.07.2018
Friedrich-Paulsen-Schule	Friedrich-Paulsen-Straße 5	25899	Niebüll	05.12.2017
Alwin-Lensch-Schule	Marktstraße 14	25899	Niebüll	05.12.2017
Förderzentrum Südtondern 	Marktstraße 14	25899	Niebüll	05.12.2017
Berufliche Schule des Kreises Nordfriesland in Niebüll	Rathausstraße 21	25899	Niebüll	in Planung
Berufliche Schule des Kreises Nordfriesland in Niebüll	Uhlebüller Straße 15	25899	Niebüll	05.12.2017
Gemeinschaftsschule der Stadt Niebüll	Uhlebüller Straße 15	25899	Niebüll	05.12.2017
Carl-Ludwig-Jessen-Schule	Ulmenweg	25899	Niebüll	12.06.2018
Berufliche Schule des Kreises Nordfriesland in Niebüll	Westerlandstr. 4	25899	Niebüll	in Planung
Grund- und Gemeinschaftsschule Timmendorfer Strand	Störtebeker Weg 22	23669	Niendorf/Ostsee	in Planung
Grundschule des Amtes Kropp-Stapelholm in Norderstapel	Bahnhofstraße 27	25868	Norderstapel	Termin noch offen
Schule am Hasenstieg	Hasenstieg 13	22846	Norderstedt	2020 Q4
Berufsbildungszentrum Norderstedt	Moorbekstraße 17	22846	Norderstedt	Termin noch offen
Stadt Norderstedt, Zentralanschluss Schulen	Rathausallee 50	22846	Norderstedt	in Planung
Grundschule Nordhastedt	Hauptstraße 25	25785	Nordhastedt	2023 Q4
Halligschule Nordstrandischmoor 	Amalienwarft	25845	Nordstrand	Termin noch offen
Herrendeichschule	Schulweg 4	25845	Nordstrand	Derzeit keine wirtschaftliche Realisierung möglich
Schule an den Eichen	Heinkenborsteler Weg 12	24589	Nortorf	2020 Q2
Grundschule Nortorf	Jahnstraße 2 - 6	24589	Nortorf	20.11.2019
Förderzentrum mit dem Schwerpunkt Lernen 	Marienburger Straße 47 - 49	24589	Nortorf	2020 Q2
Gemeinschaftsschule mit Oberstufe Nortorf	Marienburger Straße 47 - 49	24589	Nortorf	2020 Q2
Bergschule	Achterfeld	24809	Nübbel	2020 Q2
Boy-Lornsen-Schule Südangeln	Schulstr. 2	24881	Nübel	30.04.2019
Grundschule Sandesneben-Nusse	Poggenseer Straße 11	23896	Nusse	29.11.2018
Grundschule Nützen-Lentföhrden	Schulstraße 14	24632	Nützen	25.07.2019
Grundschule am Störtal	Unterstraße 23	25524	Oelixdorf	2020 Q2
Grundschule Oeversee	Stapelholmer Weg 39	24988	Oeversee	24.07.2018
Freiherr-vom-Stein-Gymnasium 	Adolf-Friedrich-Straße 1	23758	Oldenburg in Holstein	2020 Q3
Grundschule am Wasserquell	Breslauer Straße 15	23758	Oldenburg in Holstein	2020 Q3
Berufliche Schule des Kreises Ostholstein in Oldenburg	Kremsdorfer Weg 31	23758	Oldenburg in Holstein	2020 Q3
Schule Kastanienhof	Kremsdorfer Weg 51	23758	Oldenburg in Holstein	2020 Q3
Wagrienschule	Mühlenkamp 18 a	23758	Oldenburg in Holstein	2020 Q3
Grundschule Osdorf / Noer / Felm	Zur Schule 8	24251	Osdorf	30.07.2018
Otto-Thiesen-Schule	Hauptstraße 36	25872	Ostenfeld (Husum)	in Planung
Grundschule Oster-Ohrstedt	Schulstr. 1	25885	Oster-Ohrstedt	in Planung
Aukamp-Schule 	Achterkamp 14	24783	Osterrönfeld	2020 Q2
Schulen am Moor	Spanngrund 9	25746	Ostrohe	2023 Q4
Helmut-Landt-GS Oststeinbek	Gerberstraße 36	22113	Oststeinbek	05.03.2019
Grundschule Owschlag	An der Schule 1	24811	Owschlag	17.05.2018
Eiderschule	Mühlenberg 49	25794	Pahlen	2023 Q4
Otfried-Preußler-Schule	Schulkoppel 31	23689	Pansdorf	2020 Q2
Hermann-Neuton-Paulsen-Schule 	Schulstraße 11	25849	Pellworm	in Planung
Berufliche Schule des Kreises Pinneberg in Pinneberg	An der Berufsschule 1	25421	Pinneberg	10.10.2019
Theodor-Heuss-Schule	Datumer Chaussee 2	25421	Pinneberg	22.01.2019
Hans-Claussen-Schule	Elmshorner Straße 52	25421	Pinneberg	10.10.2019
Johannes-Brahms-Schule	Fahltskamp 36	25421	Pinneberg	12.09.2019
Johann-Comenius-Schule Thesdorf	Horn 5	25421	Pinneberg	10.10.2019
Helene-Lange-Schule Pinneberg	Kirchhofsweg 5	25421	Pinneberg	2020 Q1
Johannes-Brahms-Schule	Lindenstr.	25421	Pinneberg	23.05.2019
Grundschule Waldenau	Nieland 1	25421	Pinneberg	2020 Q4
Grundschule Thesdorf	Pestalozzistraße 7	25421	Pinneberg	10.10.2019
GuGS im Quellental	Richard-Köhn-Straße 75	25421	Pinneberg	12.12.2019
Grundschule Rübekamp	Rübekamp 13 - 15	25421	Pinneberg	23.05.2019
Schulpsychologischer Dienst Kreis Pinneberg	Saarlandstr. 4a	25421	Pinneberg	2020 Q1
Förderzentrum Pinneberg	Saarlandstraße 4	25421	Pinneberg	2020 Q1
Schulzentrum Nord	Schulenhörn 40	25421	Pinneberg	09.07.2019
Förderzentrum Plön	Am Schiffsthal 10a	24306	Plön	18.09.2018
Schule am Schiffsthal 	Am Schiffsthal 7	24306	Plön	29.08.2018
Breitenauschule	Breitenaustraße 1	24306	Plön	06.08.2019
Schulamt Kreis Plön	Hamburger Str. 17-18	24306	Plön	06.06.2018
Regionales Berufsbildungszentrum des Kreises Plön	Heinrich Rieper Straße 3	24306	Plön	18.01.2019
Gymnasium Schloss Plön	Prinzenstraße 8	24306	Plön	11.10.2018
Rodomstorschule	Rodomstorstraße 15	24306	Plön	29.08.2018
Theodor-Heuss-Gemeinschaftsschule	Castöhlenweg 4	24211	Preetz	15.11.2019
Johann-Heinrich-Pestalozzi-Schule	Hufenweg 5	24211	Preetz	02.10.2018
Friedrich-Schiller-Gymnasium	Ihlsol 10 - 12	24211	Preetz	09.10.2019
Regionales Berufsbildungszentrum des Kreises Plön	Kieler Straße 26	24211	Preetz	06.02.2020
Regionales Berufsbildungszentrum des Kreises Plön	Kührener Straße	24211	Preetz	09.10.2019
Schule am Kührener Berg	Kührener Straße 50	24211	Preetz	21.10.2019
Friedrich-Ebert-Schule	Lohmühlenweg 34	24211	Preetz	09.10.2019
Hermann-Ehlers-Schule	Max-Planck-Straße 1	24211	Preetz	02.10.2018
Dörfergemeinschaftsschule Probsteierhagen	Wulfsdorfer Weg 6	24253	Probsteierhagen	2021 Q1
Grundschule Goldenbek	Pronstorfer Straße 19	23820	Pronstorf	2020 Q1
Regenbogenschule	Mönkbergseck 27	24107	Quarnbek	2021 Q1
Ernst-Barlach-Schule	Am Freibad 1	25451	Quickborn	11.01.2019
Comenius-Schule Quickborn	Am Freibad 3 - 11	25451	Quickborn	18.02.2019
Grundschule Mühlenberg	Am Mühlenberg 58	25451	Quickborn	11.01.2019
Goethe-Schule	Heidkampstr. 8 (ab 2020)	25451	Quickborn	Termin noch offen
Elsensee-Gymnasium	Heidkampstraße 10	25451	Quickborn	Termin noch offen
Waldschule	Kampmoorstraße 1 - 7	25451	Quickborn	14.02.2019
Dietrich-Bonhoeffer-Gymnasium	Ziegenweg 5	25451	Quickborn	11.01.2019
Grundschule Rantrum	Schulstraße 1	25873	Rantrum	2021 Q2
Grundschule Ratekau	Bäderstraße 38	23626	Ratekau	2021 Q4
César-Klein-Schule	Preesterkoppel 2	23626	Ratekau	2021 Q4
Lauenburgische Gelehrtenschule 	Bahnhofsallee 22	23909	Ratzeburg	30.05.2018
Schulamt Kreis Herzogtum Lauenburg	Barlachstrasse 5	23909	Ratzeburg	12.12.2018
Gemeinschaftsschule Lauenburgische Seen	Heinrich-Scheele-Straße 1	23909	Ratzeburg	11.09.2018
Grundschule Ratzeburg	Mechower Straße 44	23909	Ratzeburg	11.09.2018
Grundschule Ratzeburg	Scheffelstraße 11	23909	Ratzeburg	15.11.2018
Pestalozzischule Ratzeburg	Seminarweg 1	23909	Ratzeburg	11.09.2018
Grundschule Klosterbergen	Klosterbergenstraße 77	21465	Reinbek	2020 Q2
Grundschule Schönningstedt	Königstraße	21465	Reinbek	2020 Q3
Amalie-Sieveking-Schule	Mühlenredder 30	21465	Reinbek	2020 Q2
Gemeinschaftsschule mit Oberstufe i.E. im Schulzentrum Mühlenredder	Mühlenredder 30	21465	Reinbek	2020 Q2
Grundschule Mühlenredder	Mühlenredder 43	21465	Reinbek	2020 Q2
Gertrud-Lege-Schule	Querweg 4	21465	Reinbek	2020 Q4
Sachsenwaldschule	Schulstraße 19	21465	Reinbek	2020 Q2
Immanuel-Kant-Schule Reinfeld	Bischofsteicher Weg 75	23858	Reinfeld (Holstein)	Termin noch offen
Erich Kästner Schule	Bischofsteicher Weg 75 b	23858	Reinfeld (Holstein)	in Planung
Matthias-Claudius-Schule	Marktplatz 1	23858	Reinfeld (Holstein)	Termin noch offen
Erich Kästner Schule Rellingen-Krupunder	Heidestraße 84	25462	Rellingen	03.09.2018
Förderzentrum Rellingen	Heidestraße 94-96	25462	Rellingen	2020 Q2
Brüder-Grimm-Schule	Schmiedestraße 38	25462	Rellingen	03.07.2019
Caspar-Voght-Schule	Schulweg 2 - 4	25462	Rellingen	2020 Q4
Schule Hochfeld	Aalborgstraße 78 - 84	24768	Rendsburg	01.08.2018
Förderzentrum Lernen 	Ahlmannstraße 6 - 8	24768	Rendsburg	01.08.2018
Schule Rotenhof	Ahlmannstrasse 6 - 8	24768	Rendsburg	01.08.2018
Berufsbildungszentrum am Nord-Ostsee-Kanal	Am Kamp 13	24768	Rendsburg	2022 Q4
Herderschule	Am Stadtsee 11 - 17	24768	Rendsburg	01.08.2018
Schule Altstadt	An der Bleiche 1	24768	Rendsburg	01.08.2018
Gymnasium Kronwerk	Eckernförder Straße 58 b - d	24768	Rendsburg	01.08.2018
Berufsbildungszentrum am Nord-Ostsee-Kanal	Herrenstraße 30 - 32	24768	Rendsburg	06.09.2018
Schulamt Kreis Rendsburg-Eckernförde	Kaiserstr. 8	24768	Rendsburg	19.07.2017
Christian-Timm-Schule	Kieler Straße 27	24768	Rendsburg	04.07.2018
Berufsbildungszentrum Rendsburg-Eckernförde	Kieler Straße 30	24768	Rendsburg	04.06.2018
Berufsbildungszentrum am Nord-Ostsee-Kanal	Kieler Straße 35	24768	Rendsburg	22.11.2018
Schule Neuwerk - Moltkeschule	Moltkestraße 22 - 24	24768	Rendsburg	01.08.2018
Grundschule Nobiskrug	Nobiskrüger Allee 116-118	24768	Rendsburg	01.08.2018
Schule Mastbrook	Ostlandstraße 44	24768	Rendsburg	01.08.2018
Sternschule	Ostlandstraße 44	24768	Rendsburg	27.06.2019
Schule Obereider	Pastor-Schröder-Straße 66 - 68	24768	Rendsburg	01.08.2018
Helene-Lange-Gymnasium	Ritterstraße 12	24768	Rendsburg	01.08.2018
Grundschule Wankendorf	Schipphorster Weg 4	24619	Rendswühren	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Grundschule Rethwisch	Schinkeler Weg 2	25566	Rethwisch (Steinburg)	2020 Q3
Grundschule der Gemeinde Rickling	Dorfstraße 63	24635	Rickling	2020 Q3
Schleischule Rieseby	Dorfstraße 29	24354	Rieseby	03.05.2018
Grundschule Risum-Lindholm 	Dorfstraße 260	25920	Risum-Lindholm	26.11.2018
Grundschule Warderfelde	Warderfelder Weg 36	23821	Rohlstorf	2020 Q3
Grund- und Gemeinschaftsschule Sandesneben 	Schiphorster Weg 5	23898	Sandesneben	2020 Q2
Grundschule Wilstermarsch	Hauptstraße 12	25572	Sankt Margarethen	2020 Q4
Grund- und Gemeinschaftsschule Burg-St. Michaelisdonn	Birkenstraße 9	25693	Sankt Michaelisdonn	2023 Q4
Grund- und Gemeinschaftsschule Burg-St. Michaelisdonn	Hoper Straße 6	25693	Sankt Michaelisdonn	2023 Q4
Nordseeschule	Fasanenweg 5	25826	Sankt Peter-Ording	in Planung
Utholm-Schule 	Kirchenleye 7	25826	Sankt Peter-Ording	in Planung
Nordseeschule	Pestalozzistraße 62 - 70	25826	Sankt Peter-Ording	in Planung
Boy-Lornsen-Schule Südangeln	Schulstraße 8	24882	Schaalby	22.02.2018
Grund- und Gemeinschaftsschule Schacht-Audorf	Dorfstraße 60	24790	Schacht-Audorf	2020 Q2
Grund- und Gemeinschaftsschule Schafflund	Meyner Straße 29	24980	Schafflund	03.12.2019
Grundschule Bargenstedt-Schafstedt	Judenstraße 46	25725	Schafstedt	2023 Q4
Grund- und Gemeinschaftsschule Pönitz	Lindenstraße 20	23684	Scharbeutz	Termin noch offen
Ostsee-Grundschule	Schulstraße 5	23683	Scharbeutz	in Planung
Grundschule Schellhorn-Trent	Plöner Landstraße 49	24211	Schellhorn	Termin noch offen
Gymnasium Schenefeld	Achter de Weiden 30	22869	Schenefeld	12.09.2019
Gemeinschaftsschule Achter de Weiden	Achter De Weiden 34	22869	Schenefeld	12.09.2019
Grundschule Altgemeinde	Blankeneser Chaussee 5	22869	Schenefeld	Termin noch offen
Gorch-Fock-Schule	Gorch-Fock-Straße 51	22869	Schenefeld	2020 Q4
Grund- und Gemeinschaftsschule Schenefeld	Rosenstieg 16	25560	Schenefeld	2020 Q3
Grundschule Wankendorf	Ziegelhofer Weg 6	24637	Schillsdorf	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule am Nord-Ostsee-Kanal	Hauptstraße 46	24214	Schinkel	04.07.2018
Dannewerkschule	Erikstraße 50	24837	Schleswig	15.05.2019
St. Jürgen-Schule	Erlenweg 2	24837	Schleswig	10.10.2018
Schulamt Kreis Schleswig-Flensburg	Flensburger Str. 7	24837	Schleswig	22.02.2018
Förderzentrum Schleswig-Kropp	Flensburger Straße 120	24837	Schleswig	04.10.2018
Berufsbildungszentrum Schleswig	Flensburger Straße 19 b	24837	Schleswig	22.11.2018
Schule Hesterberg	Friedrich-Ebert-Straße 5	24837	Schleswig	10.10.2018
Bugenhagenschule	Friedrichstraße 103	24837	Schleswig	18.12.2018
Gallbergschule	Gallberg 47	24837	Schleswig	28.02.2019
Peter-Härtling-Schule	Holzredder 12	24837	Schleswig	18.12.2018
Domschule	Königsstraße 37	24837	Schleswig	04.10.2018
Lornsenschule	Lutherstr. 9	24836	Schleswig	22.11.2018
Wilhelminenschule	Lutherstraße 11	24837	Schleswig	22.11.2018
Landesförderzentrum Sehen	Lutherstraße 14	24837	Schleswig	19.07.2018
Lornsenschule	Michaelisallee 1	24837	Schleswig	04.10.2018
Schule Nord	Schützenredder 16	24837	Schleswig	10.10.2018
Bruno-Lorenzen-Schule	Spielkoppel 6	24837	Schleswig	11.06.2018
Grundschule Schmalfeld-Hartenholm	Schulstrasse 3	24640	Schmalfeld	2020 Q4
Gemeinschaftsschule Probstei	Friedhofsweg 6	24217	Schönberg	05.12.2018
Grundschule an den Salzwiesen	Schulweg 3	24217	Schönberg	05.12.2018
Förderzentrum Schönberg	Schulweg 3 a	24217	Schönberg	05.12.2018
Förderzentrum Schönkirchen - Schönberg	Augustental	24232	Schönkirchen	17.09.2019
Schule im Augustental	Augustental 29	24232	Schönkirchen	17.09.2019
Friedrich-Hiller-Schule	Am Ruhsal	23744	Schönwalde am Bungsberg	2021 Q2
Grundschule Schuby 	Bahnhofstraße 18	24850	Schuby	16.01.2019
Schule an der Treene	Westerende 32	25876	Schwabstedt	Termin noch offen
Grundschule Schwartbuck	Dorfstrasse 59	24257	Schwartbuck	Derzeit keine wirtschaftliche Realisierung möglich
Grund- und Gemeinschaftsschule Schwarzenbek	Berliner Straße 12	21493	Schwarzenbek	2020 Q4
Grund- und Gemeinschaftsschule Schwarzenbek	Breslauer Straße 2	21493	Schwarzenbek	2020 Q4
Gymnasium Schwarzenbek	Buschkoppel 7	21493	Schwarzenbek	2020 Q4
Centa-Wulf-Schule	Cesenaticostraße 13	21493	Schwarzenbek	2020 Q4
Grundschule Schwarzenbek-Nordost	Cesenaticostraße 14	21493	Schwarzenbek	2020 Q4
Grundschule Surendorf	An der Schule 11	24229	Schwedeneck	21.03.2018
Astrid-Lindgren-Grundschule	Dorfstraße 99 - 101	24222	Schwentinental	Termin noch offen
Landesförderzentrum Schwentinental	Henry-Dunant-Straße 6 - 10	24223	Schwentinental	18.03.2019
Grundschule am Schwentinepark	Zum See 11	24223	Schwentinental	05.12.2018
Albert-Schweitzer-Schule	Zum See 15	24223	Schwentinental	05.12.2018
Grundschule Schlamersdorf	Schulstrasse 1	23823	Seedorf (Segeberg)	2020 Q3
Grundschule Seester	Dorfstraße 43	25370	Seester	Derzeit keine wirtschaftliche Realisierung möglich
Schule am Selenter See	Schulstraße 8	24238	Selent	Termin noch offen
Achim-Bröger-Schule	Schulstrasse 6	23611	Sereetz	19.11.2019
Grundschule Seth	Schulstraße 4	23845	Seth	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Sieversdorf	Kreisstraße 1	23714	Sieversdorf	Termin noch offen
Grundschule am Wald	Am Sportfeld 3	24641	Sievershütten	Derzeit keine wirtschaftliche Realisierung möglich
Schule im Autal	Sieverstedter Straße 9	24885	Sieverstedt	26.06.2018
Erich Kästner Schule Silberstedt	Malerweg 17	24887	Silberstedt	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Südensee-Schule	Schulstraße 4	24966	Sörup	2021 Q4
Förderzentrum Angeln	Schulstraße 4 a	24966	Sörup	2020 Q4
Grund- und Gemeinschaftsschule Schafflund	Dorflücken 18	25917	Stadum	07.11.2019
Grundschule Stapelfeld	Von-Eichendorff-Weg 3	22145	Stapelfeld	2021 Q1
Grundschule Steinbergkirche	Hattlundmoor 15	24972	Steinbergkirche	Termin noch offen
Grundschule Mollhagen	Eichedeer Straße 16	22964	Steinburg	2020 Q2
Grundschule Sterley	Schulstraße 5	23883	Sterley	in Planung
Heinrich-Andresen-Schule	Am Schulzentrum 5	24996	Sterup	2020 Q3
Grundschule Sterup	Schulstraße 3	24996	Sterup	Termin noch offen
Gerhart-Hauptmann-Schule	Breslauer Straße 12	23617	Stockelsdorf	16.10.2018
Erich Kästner Grundschule	Dorfstraße 30	23617	Stockelsdorf	in Planung
Gerhard-Hilgendorf-Schule	Rensefelder Weg 2 g	23617	Stockelsdorf	14.11.2018
Grundschule Ravensbusch	Segeberger Straße 89	23617	Stockelsdorf	15.11.2018
Grundschule Wankendorf	Dorfstraße 25	24601	Stolpe	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Strande	Dänischenhagener Straße 31	24229	Strande	20.03.2018
Grundschule am Wald	Schulstraße 12	24643	Struvenhütten	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Schule am Markt	Holmer Straße 2	24392	Süderbrarup	02.02.2018
Schule am Thorsberger Moor	Kappelner Straße	24392	Süderbrarup	23.01.2018
Nordlicht-Schule	Kappelner Straße 27 b 38	24392	Süderbrarup	23.01.2018
Grundschule Föhr-Land	Am Haag 4a	25938	Süderende	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Burg	Kantstraße 10	25727	Süderhastedt	2021 Q4
Grundschule Süderlügum	Schulstraße 15	25923	Süderlügum	Derzeit keine wirtschaftliche Realisierung möglich
Schule im Alsterland	Oldesloer Straße 9	23867	Sülfeld	2020 Q3
Grundschule Süsel 	Am Schulzentrum 3	23701	Süsel	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Boy-Lornsen-Grundschule  	Boy-Peter-Eben-Weg 2	25980	Sylt	Derzeit keine wirtschaftliche Realisierung möglich
Schule St. Nicolai	Nordkamp 1	25980	Sylt	21.01.2020
Berufliche Schule des Kreises Nordfriesland in Niebüll	St.Nicolai-Straße 5	25980	Sylt	09.05.2019
Schule St. Nicolai	St.Nicolai-Straße 6	25980	Sylt	09.05.2019
Schulzentrum Sylt	Tonderner Straße 12	25980	Sylt	21.01.2020
Grundschule Tangstedt	Dorfstraße 100	25499	Tangstedt (Pinneberg)	01.04.2019
Grundschule Tangstedt	Schulstraße 13	22889	Tangstedt (Stormarn)	2020 Q1
Alexander-Behm-Schule	Klaus-Groth-Straße 29	24963	Tarp	19.09.2017
Grundschule Pansdorf-Techau	Dorfstr. 1	23689	Techau	in Planung
Friedrich-Elvers-Schule	Schulweg	25782	Tellingstedt	2023 Q4
Grund- und Gemeinschaftsschule Tellingstedt	Schulweg 4	25782	Tellingstedt	2023 Q4
Theodor-Mommsen-Schule Garding 	Kirchdeich 1	25882	Tetenbüll	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Grundschule Timmaspe	Zum Sportplatz 14	24644	Timmaspe	20.11.2019
Ostsee-Gymnasium	Am Kuhlbrook	23669	Timmendorfer Strand	10.01.2019
Grund- und Gemeinschaftsschule Timmendorfer Strand	Poststraße 36 a	23669	Timmendorfer Strand	18.03.2019
Berufliche Schule des Kreises Ostholstein in Oldenburg	Strandallee 2	23669	Timmendorfer Strand	2020 Q1
Theodor-Storm-Dörfergemeinschaftsschule	Hauptstraße 41	24819	Todenbüttel	Termin noch offen
Boy-Lornsen-Schule Südangeln	Eckernförder Str. 37	24894	Tolk	22.02.2018
Eider-Treene-Schule	Badallee 14	25832	Tönning	in Planung
Schule am Ostertor	Hochsteg 26	25832	Tönning	in Planung
Johannes-Schwennesen-Schule	Esinger Straße 102	25436	Tornesch	28.10.2019
Klaus-Groth-Schule	Klaus-Groth-Straße 11	25436	Tornesch	28.10.2019
Fritz-Reuter-Schule	Königsberger Straße 7	25436	Tornesch	Termin noch offen
Richard-Hallmann-Schule	Gablonzer Straße 42	24610	Trappenkamp	in Planung
Grundschule Trappenkamp 	Gablonzer Straße 42	24610	Trappenkamp	Termin noch offen
Grundschule Treia	Treenestraße 53	24896	Treia	Derzeit keine wirtschaftliche Realisierung möglich
Gymnasium Trittau	Heinrich-Hertz-Straße 7	22946	Trittau	in Planung
Hahnheide-Schule	Im Raum 23	22946	Trittau	in Planung
Mühlau-Schule	Im Raum 24	22946	Trittau	in Planung
Amalie-Sieveking-Schule	Im Raum 26
(Telekomadresse: Heinrich-Hertz-Str. 7)		Trittau                            	in Planung
Friedrich-Ebert-Grundschule	Berliner Straße 19	25436	Uetersen	28.10.2019
Förderzentrum Region Uetersen	Birkenallee 44	25436	Uetersen	28.10.2019
Grundschule Birkenallee	Birkenallee 44	25436	Uetersen	28.10.2019
Ludwig-Meyn-Gymnasium	Seminarstraße 10	25436	Uetersen	28.10.2019
Rosenstadtschule Uetersen	Seminarstraße 10b-12	25436	Uetersen	28.10.2019
Grund- und Gemeinschaftsschule Viöl	Gartenstraße 4 - 8	25884	Viöl	2020 Q3
Grundschule Mittelschwansen	Kirchstraße 12	24369	Waabs	03.05.2018
Grundschule Wacken	Bokelrehmer Straße 51	25596	Wacken	09.08.2018
Berufsbildungszentrum Bad Segeberg	Gildeweg 36	23812	Wahlstedt	31.01.2019
Poul-Due-Jensen-Schule	Neumünsterstraße 22	23812	Wahlstedt	17.07.2019
Helen-Keller-Schule	Scharnhorststrasse 6	23812	Wahlstedt	20.11.2019
Grund- und Gemeinschaftsschule Kisdorf	Naher Straße 1	24558	Wakendorf II	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Wanderup	Tarper Straße 19 - 21	24997	Wanderup	2020 Q3
Grundschule Oldenburg-Land	Ostseestraße 23	23758	Wangels	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Wankendorf	Schulweg 6	24601	Wankendorf	2020 Q1
Hermann-Claudius-Schule	Schulstraße 14	24647	Wasbek	2020 Q3
Landschule an der Eider	Schulstraße 6	24582	Wattenbek	2020 Q3
Grundschule Weddingstedt	Alter Landweg 2	25795	Weddingstedt	2023 Q4
Johann-Rist-Gymnasium	Am Redder 8	22880	Wedel	29.10.2019
Moorwegschule	Breiter Weg 57 - 67	22880	Wedel	29.10.2019
Pestalozzischule 	Im Autal 37	22880	Wedel	29.10.2019
Albert-Schweitzer-Schule	Pulverstraße 67 a	22880	Wedel	29.10.2019
Gebrüder-Humboldt-Schule	Rosengarten 18	22880	Wedel	29.10.2019
Grundschule Altstadt	Schulstraße 8	22880	Wedel	29.10.2019
Ernst-Barlach-Gemeinschaftsschule	Tinsdaler Weg 44	22880	Wedel	29.10.2019
Grundschule Munkbrarup	Hau 1	24999	Wees	26.11.2018
Norddörferschule Wenningstedt	Norderweg 2	25996	Wenningstedt-Braderup (Sylt)	Derzeit keine wirtschaftliche Realisierung möglich
Die Schule im Grünen	Achtern Höben 3	21465	Wentorf bei Hamburg	2020 Q4
Gymnasium Wentorf	Hohler Weg 16	21465	Wentorf bei Hamburg	2020 Q4
Grundschule Wentorf	Wohltorfer Weg 6	21465	Wentorf bei Hamburg	2020 Q4
Eider-Nordsee-Schule	Dohrnstraße 1	25764	Wesselburen	2023 Q4
Friedrich-Elvers-Schule	Dohrnstraße 1	25764	Wesselburen	2023 Q4
Grundschule Wesselburen 	Ekenesch 15	25764	Wesselburen	2023 Q4
Grundschule Wesseln	Holstenstraße 43	25746	Wesseln	2023 Q4
Grundschule Felde	Schulweg 10	24259	Westensee	2020 Q2
Schule am Ochsenweg	Am Sportplatz 4	24784	Westerrönfeld	2020 Q2
Grundschule Wewelsfleth	Schulstr. 3	25599	Wewelsfleth	2020 Q3
Grundschule Maienbeeck	Schulweg 4	24649	Wiemersdorf	2020 Q2
Förderzentrum Steinburg Süd-West	Am Schulzentrum 3	25554	Wilster	2020 Q2
Gemeinschaftsschule Wilstermarsch	Am Schulzentrum 3	25554	Wilster	2020 Q2
Wolfgang-Ratke-Schule	Landrecht 45	25554	Wilster	2020 Q2
Albert-Schweitzer-Schule	Mühlenberg 2 A	24398	Winnemark	in Planung
Grundschule Witzwort	Kirchenweg 2	25889	Witzwort	2021 Q4
Grundschule Wohltorf	Alter Knick 22	21521	Wohltorf	2020 Q2
Grundschule Wrist	Am Sportplatz	25563	Wrist	21.02.2019
Eilun Feer Skuul	Rebbelstieg 59	25938	Wyk auf Föhr	2020 Q2
Rüm-Hart-Schule	Süderstraße 24	25938	Wyk auf Föhr	2020 Q2
Dörfergemeinschaftsschule am Struckteich	Pöhlser Weg 18	23619	Zarpen	2021 Q1
