Bezeichner	Straße	PLZ	Ort	Voraussichtliche Inbetriebnahme
Grundschule Landkirchen auf Fehmarn	Hauptstraße/Landkirchen 21	23769	Fehmarn	Derzeit keine wirtschaftliche Realisierung möglich
Inselschule Fehmarn	Kantstraße 1	23769	Fehmarn	2020 Q1
Grundschule Fehmarn in Burg	Mühlenstraße 2 - 4	23769	Fehmarn	2020 Q1
Grundschule Felde	Dorfstraße 93	24242	Felde	2020 Q2
Grundschule Osdorf / Noer / Felm	Dorfstraße 56	24244	Felm	30.04.2019
Grundschule Fleckeby	Am Holm 2	24357	Fleckeby	Termin noch offen
RBZ HLA 	Am Schloßwall 3	24939	Flensburg	15.02.2018
Regionales Berufsbildungszentrum Flensburg 	Apenrader Str. 164	24941	Flensburg	31.05.2018
RBZ HLA 	Apenrader Str. 164	24939	Flensburg	31.05.2018
Grundschule Flensburg-Weiche  	Bahnstraße 20	24941	Flensburg	04.10.2017
Grundschule Ramsharde	Bauer Landstraße 37/ 39	24939	Flensburg	in Planung
Goethe-Schule	Bismarckstraße 41	24943	Flensburg	31.05.2018
Grundschule Fruerlund	Bohlberg 56 - 58	24943	Flensburg	09.10.2018
Grundschule Engelsby	Brahmsstraße 2 - 4	24943	Flensburg	09.10.2018
Comenius-Schule	Drosselweg 12	24939	Flensburg	31.05.2018
Fördegymnasium	Elbestraße 10	24943	Flensburg	13.02.2018
Max von der Grün-Schule	Elbestraße 10	24943	Flensburg	13.02.2018
Fridtjof-Nansen-Schule	Elbestraße 20	24943	Flensburg	13.02.2018
Friholtschule 	Elbestraße 8	24943	Flensburg	13.02.2018
Falkenbergschule	Emil-Nolde-Straße 31	24937	Flensburg	04.09.2018
Regionales Berufsbildungszentrum Flensburg 	Friesische Lücke 15	24937	Flensburg	02.11.2017
Regionales Berufsbildungszentrum Flensburg 	Friesische Lücke 17	24937	Flensburg	02.11.2017
Gemeinschaftsschule Flensburg-West	Friesische Lücke 7	24937	Flensburg	02.11.2017
Hohlwegschule	Glücksburger Straße 38 a	24943	Flensburg	03.04.2018
Schule auf der Rude	Lundweg 30	24941	Flensburg	15.02.2018
RBZ HLA 	Marienallee 5	24937	Flensburg	09.10.2018
Grundschule Friedheim	Marrenshof 1	24944	Flensburg	13.02.2018
Käte-Lassen-Schule	Mommsenstraße 45	24943	Flensburg	29.03.2018
Schulpsychologischer Dienst Stadt Flensburg	Norderstr. 58-60	24937	Flensburg	23.10.2017
Schulamt Stadt Flensburg	Rathausplatz 1	24937	Flensburg	28.03.2018
Kurt-Tucholsky-Schule	Richard-Wagner-Straße 41	24943	Flensburg	04.09.2018
Grundschule Adelby	Ringstraße 1 - 3	24943	Flensburg	04.09.2018
Paulus-Paulsen Schule	Schulze-Delitzsch-Str. 2	24943	Flensburg	15.02.2018
Regionales Berufsbildungszentrum Flensburg 	Schützenkuhle 20-24	24937	Flensburg	13.12.2017
Altes Gymnasium	Selckstraße 1	24937	Flensburg	28.03.2017
Auguste-Viktoria-Schule	Südergraben 34	24937	Flensburg	28.03.2017
Paulus-Paulsen-Schule	Waitzstr. 16	24937	Flensburg	04.09.2018
Waldschule	Waldstraße 44	24939	Flensburg	13.02.2018
Schule am Eiderwald	Brückenstraße 24	24220	Flintbek	25.02.2020
Bergschule	Friedhofsweg 3	24787	Fockbek	2020 Q2
Marschenschool	Altfelder Weg 9	25718	Friedrichskoog	2020 Q4
Schule an der Treene	Ostdeutsche Straße 3	25840	Friedrichstadt	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Eider-Treene-Schule	Schleswiger Strasse 29	25840	Friedrichstadt	2021 Q2
Theodor-Mommsen-Schule Garding 	Marienstraße 14	25836	Garding	2022 Q4
Buntenskampschule	Buntenskamp 22	21502	Geesthacht	2020 Q1
Hachede-Schule	Dialogweg 2	21502	Geesthacht	2020 Q2
Bertha-von-Suttner-Schule	Dösselbuschberg 40	21502	Geesthacht	2020 Q2
Förderschule Geesthacht	Neuer Krug 33 - 35	21502	Geesthacht	2020 Q1
Alfred-Nobel-Schule	Neuer Krug 37 - 39	21502	Geesthacht	2020 Q1
Otto-Hahn-Gymnasium	Neuer Krug 5	21502	Geesthacht	2020 Q1
Waldschule	Otto-Hahn-Straße 5	21502	Geesthacht	2020 Q4
Grundschule in der Oberstadt	Schulweg 3	21502	Geesthacht	2020 Q3
Grundschule Silberberg	Silberberg 6	21502	Geesthacht	2020 Q3
Georg-Asmussen-Schule 	Norderholm 38	24395	Gelting	Termin noch offen
Isarnwohld-Schule Gettorf	Süderstraße 74	24214	Gettorf	11.01.2018
Parkschule Gettorf	Tüttendorfer Weg	24214	Gettorf	11.01.2018
Grundschule Lütjenburg	Seekrug	24321	Giekau	Derzeit keine wirtschaftliche Realisierung möglich
Arnesboken-Schule	Schulstraße 19	23719	Glasau	2020 Q3
Gemeinschaftsschule mit Oberstufe Wiesenfeld 	Holstenkamp 29	21509	Glinde	Termin noch offen
Grundschule Wiesenfeld	Holstenkamp 29	21509	Glinde	Termin noch offen
Wilhelm-Busch-Schule	Holstenkamp 29	21509	Glinde	Termin noch offen
Gymnasium Glinde	Oher Weg 24	21509	Glinde	19.02.2019
Sönke-Nissen-Gemeinschaftsschule 	Oher Weg 24	21509	Glinde	19.02.2019
Grundschule Tannenweg	Tannenweg 10	21509	Glinde	14.03.2019
Grundschule Glücksburg	Schulweg 1	24960	Glücksburg (Ostsee)	17.04.2018
Bürgerschule	Carl-Legien-Straße 1	25348	Glückstadt	23.04.2019
Detlefsengymnasium 	Dänenkamp 5	25348	Glückstadt	09.04.2019
